MovieID	IDSubtitleFile	MovieName	MovieYear	SeriesSeason	SubHearingImpaired
2150	29808	Heist	2001	0	0
2152	100991	Tadpole	2000	0	1
2153	229229	I Know What You Did Last Summer	1997	0	0
2156	1952718189	Hard Rain	1998	0	0
2157	59217	The Quiet American	2002	0	0
2158	31276	15 Minutes	2001	0	0
2165	59237	Evita	1996	0	0
2169	38371	Almost Famous	2000	0	0
2170	104569	Cube	1997	0	1
2176	1951734955	The Rocketeer	1991	0	1
2177	41913	Mulan	1998	0	0
2180	83072	Love Actually	2003	0	0
2185	101975	Never Die Alone	2004	0	0
2187	62347	The In-Laws	2003	0	0
2188	21338	Loser	2000	0	0
2190	1958195915	Love Object	2003	0	0
2192	196688	Star Wars: Clone Wars	2003	0	1
2196	1951733257	Hercules: The Legendary Journeys - Hercules and the Lost Kingdom	1994	0	1
2198	68397	Dark Blue World	2001	0	0
2200	36311	The Salton Sea	2002	0	0
2201	38043	Crossroads	2002	0	0
2203	35759	Ghosts of Mars	2001	0	0
2205	94444	The Avengers	1998	0	0
2206	20641	Meet Joe Black	1998	0	1
2207	28106	Don't Be a Menace to South Central While Drinking Your Juice in the Hood	1996	0	1
2208	40584	Final Destination	2000	0	0
2209	137102	A Lot Like Love	2005	0	0
2210	37074	Sleeping with the Enemy	1991	0	0
2214	1958165815	Post Impact	2004	0	0
2215	20636	Die Hard with a Vengeance	1995	0	1
2217	122975	White Hunter Black Heart	1990	0	0
2219	1952917574	The United States of Leland	2003	0	0
2220	185651	Of Mice and Men	1992	0	0
2226	34420	The Loss of Sexual Innocence	1999	0	0
2229	72348	Auto Focus	2002	0	0
2232	128363	The Life and Death of Peter Sellers	2004	0	0
2234	89957	The Whole Nine Yards	2000	0	0
2240	133210	The Man Who Wasn't There	2001	0	0
2243	52057	Candyman	1992	0	0
2245	24199	Zoolander	2001	0	0
2254	1951628084	Disturbing Behavior	1998	0	0
2255	189401	They	2002	0	0
2259	145870	Disclosure	1994	0	0
2260	78495	Veronica Guerin	2003	0	0
2261	115850	Enemy of the State	1998	0	0
2263	1951859687	Scream	1996	0	0
2265	26513	Formula 51	2001	0	0
2266	146130	Saving Silverman	2001	0	0
2267	1955039905	How to Make a Monster	2001	0	0
2271	131937	Orgazmo	1997	0	0
2273	105322	Hitler: The Rise of Evil	2003	0	0
2275	66813	View from the Top	2003	0	1
2281	36878	Ghost	1990	0	0
2283	1952179833	It Could Happen to You	1994	0	0
2284	66708	Great Expectations	1998	0	0
2288	63025	Inspector Gadget	1999	0	1
2290	1953641740	Legionnaire	1998	0	0
2293	1951836690	The Lawnmower Man	1992	0	0
2294	31532	The Road to El Dorado	2000	0	1
2302	104967	Dude, Where's My Car?	2000	0	0
2303	34030	Titanic	1997	0	0
2305	1955034266	Tremors 4: The Legend Begins	2004	0	0
2308	1952495978	Big Momma's House	2000	0	0
2310	1951733870	Human Nature	2001	0	0
2311	64025	The Hunted	2003	0	0
2313	187841	Bridget Jones's Diary	2001	0	1
2317	61501	Malena	2000	0	0
2319	179724	Woman on Top	2000	0	1
2321	1957379095	The Angel of Pennsylvania Avenue	1996	0	1
2327	1956190945	Whatever It Takes	2000	0	0
2328	1952194611	Replicant	2001	0	0
2332	27991	Se7en	1995	0	0
2336	31432	Last Man Standing	1996	0	0
2338	42971	Bend It Like Beckham	2002	0	0
2339	203960	Angels in America	2003	0	0
2341	74869	The Skulls	2000	0	1
2344	20317	Liar Liar	1997	0	1
2348	103314	Walking Tall	2004	0	0
2354	93128	Galaxy Quest	1999	0	0
2357	105221	Screamers	1995	0	0
2358	20150	Bicentennial Man	1999	0	0
2359	95655	O Brother, Where Art Thou?	2000	0	0
2365	113664	Doing Hard Time	2004	0	0
2366	33319	We Were Soldiers	2002	0	0
2367	262005	44 Minutes: The North Hollywood Shoot-Out	2003	0	0
2376	65028	Sweet and Lowdown	1999	0	0
2377	195597	Boiler Room	2000	0	0
2379	36448	Deep Blue Sea	1999	0	0
2388	78023	Radio	2003	0	0
2390	1951715559	Me, Myself & Irene	2000	0	1
2392	1951638643	X2: X-Men United	2003	0	0
2393	80928	Looney Tunes: Back in Action	2003	0	0
2395	68970	The Italian Job	2003	0	0
2397	50861	Chasing Amy	1997	0	1
2400	67888	Sniper 2	2002	0	0
2403	36912	Robin Hood: Prince of Thieves	1991	0	0
2405	44231	101 Dalmatians	1996	0	0
2406	1951607084	The Patriot	2000	0	0
2407	314028	Derailed	2005	0	1
2410	92743	You Got Served	2004	0	0
2412	27156	Just Visiting	2001	0	1
2413	1951993681	Noel	2004	0	1
2417	55759	Far from Heaven	2002	0	1
2420	68554	Life Without Dick	2002	0	0
2421	39366	The Sum of All Fears	2002	0	0
2422	65334	Johnny English	2003	0	1
2426	1951839306	George of the Jungle	1997	0	0
2434	29977	Max Keeble's Big Move	2001	0	1
2438	68944	Legally Blonde 2: Red, White & Blonde	2003	0	0
2441	46407	Under Siege	1992	0	0
2442	1957620063	976-Evil II	1991	0	1
2443	258103	The Shape of Things	2003	0	1
2446	25278	Mallrats	1995	0	1
2447	1954996653	Wicker Park	2004	0	0
2454	93455	Spartan	2004	0	0
2455	129433	Donnie Brasco	1997	0	0
2456	99155	Arachnophobia	1990	0	0
2457	86582	Daddy Day Care	2003	0	0
2459	26242	Universal Soldier	1992	0	0
2460	22601	The Silence of the Lambs	1991	0	0
2461	94435	The Animal	2001	0	0
2462	36376	Panic Room	2002	0	0
2468	20640	Mad City	1997	0	0
2469	26679	Black Knight	2001	0	0
2475	150152	The Score	2001	0	0
2479	1957646823	Paper Hearts	1993	0	1
2480	114638	Little Black Book	2004	0	0
2481	26547	The Bone Collector	1999	0	0
2483	77070	Unbreakable	2000	0	0
2487	50920	Conspiracy Theory	1997	0	0
2491	90054	First Knight	1995	0	0
2495	55853	No Good Deed	2002	0	0
2496	34028	You've Got Mail	1998	0	0
2500	141459	Mindhunters	2004	0	1
2501	1951628049	Bowfinger	1999	0	0
2502	146231	The Winslow Boy	1999	0	0
2504	89971	Playing by Heart	1998	0	0
2505	31267	Tremors	1990	0	1
